toko,nama_barang,ulasan,rating
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,"Barang Original, keren dan memuaskan.",5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,"Diluar ekpektasi sih, ternyata kabelnya kokoh banget ya, aku pikir kabel charger biasa, ternyata keren banget. 😘",5
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Case pas dan sesuai dengan pesanan. Belum dicoba cas wirelessnya, semoga works.",5
ismile-indonesia,,Barang sesuai pesanan dan bekerja dengan baik.,5
ismile-indonesia,,Mantap ori,5
ismile-indonesia,,terimakasih barang dtg dgn ceoat dan aman barang 100% ori/asli di cek imei garansi benar asli terima kasi admin resfon dgn cepat,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,terimakasih barang dtg celat barang bagus/ori berpungsi dgn baik di cek imei/kode2 di dlm nya cocok dan asli 100% ori/asli garansi asli tks,5
ismile-indonesia,,Rekomendedd!!,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Puass bangett, sengaja baru ngasih review setelah pemakaian 1 bulan lebih dan ternyataa sampe sekarang amann bgtt!!! Super rekomendedd sii",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Mantapp, admin responsif",5
ismile-indonesia,,"Mantap,selernya cepat,pingirimanya rafi,di rekomen bet belinya di toko ini wajib bintang 5",5
ismile-indonesia,,"barangya ori 100% di rekomen bet beli di toko ini ,selernya cepat respon,gak bakalan nyesel beli nya",5
ismile-indonesia,,"Paket ok, terima kasih",5
ismile-indonesia,Apple Watch Series 10 2024 GPS 42mm 46mm Alumunium Case Sport Band,Mantap terima kasih…,5
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang terbungkus rapi, tidak ada dus yang penyok",5
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"barang ori, mantab",5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"barang terkirim aman dan sesuai request,  terimakasih",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"original 
👍 dah gitu aja",5
ismile-indonesia,,Packing sangat tebal dan rapih,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"Barang masih green peel, garansi ori, berfungsi dengan baik",5
ismile-indonesia,,"Adapter ori, semoga awet",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"alhamdulillah paketnya udh sampai😊 device aman, garansi resmi Indonesia, dapat kode SA/A. rekomend sih toko ini😊",5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,Ingin d batalkan tapi tetap d kiirm,1
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Alhamdulillah barang sampai dengan selamat, walaupun di bungkusnya cuman pakai kantonh plastik, overall puas sama barangnya, semoga awet dan tahan lama, Aamiin🤲🏻",5
ismile-indonesia,,"Alhamdulillah barang sampai dengan selamat, walaupun di bungkusnya cuman pakai kantonh plastik, overall puas sama barangnya, semoga awet dan tahan lama, Aamiin🤲🏻",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Mantapss sekali,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"nyampe ny cepet
barang aman, mulus
bagus",5
ismile-indonesia,,"Mantaaappp sesuai iklan, produk pas cocok, respon cepet, cepat sampe, packing aman, terimakasih.",5
ismile-indonesia,Ugreen Magsafe Case Classy Clear Clear-Black For iPhone 16 Series Resmi,"Mantaaappp sesuai iklan, produk pas cocok, respon cepet, cepat sampe, packing aman, terimakasih.",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Barangnya tepat, respon cepet",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,pengiriman cepat barang original bisa di andalkan,5
ismile-indonesia,Apple Watch Ultra 2 2024 49mm Black Titanium Case Ocean Band,Original and fast response. Surprisingly watch arrived safely in less than 24 hours. Kuddos to iSmile team :)),5
ismile-indonesia,Apple iPad Pro M4 13 Inci 256GB 512GB 1TB 2TB,,5
ismile-indonesia,,"Paket sudah di terima dan tidak ada kendala, terima kasih.",5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,Bagus,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"barang pas mau 2 bulan tiba"" mati,dus ada lecet dan penyok dan kondisi hp ada dent warna tidak rata dan lecet di bagian bawah dan tombol samping speaker.",1
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,parahhh sih,5
ismile-indonesia,Apple iPad Air M2 (Gen 6) 11 inci Wifi 128GB 256GB 512GB 1TB Garansi Resmi,"Pemesanan aman, pengemasan bagus, dan barang nya cakep",5
ismile-indonesia,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,,5
ismile-indonesia,Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,,5
ismile-indonesia,,,5
ismile-indonesia,Apple iPad Air M2 (Gen 6) 11 inci Wifi 128GB 256GB 512GB 1TB Garansi Resmi,👍👍👍cepat sampainya,5
ismile-indonesia,,👍👍👍,5
ismile-indonesia,,barangnya udah sampai dan sesuai dengan pesanan ...sesuai gambar...terimakasih,5
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,barang masih disegel packing aman semoga aweett awet🙌,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,"Pembelian ke-4 dari Toko ini. Alhamdulillah selalu amanahh 🥰 
Kalo mau lebih cepet pengirimannya bisa pilih yg non gratisongkir dan pilih ekspedisinya. Kaliini sampenya...",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,Bagus.,5
ismile-indonesia,[ iSmile x 805Gadget ] Apple iPhone 16 Pro 128GB 256GB 512GB 1TB Garansi Resmi,Dopeeee,5
ismile-indonesia,,Kliatannya original 👍,5
ismile-indonesia,,packing doble wrap aman dan rapi dijamin aman,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,"Seller respon cepat, ini beli ke dua kalinya semoga awet, kode PA/A sesuai request",5
ismile-indonesia,,Packing doble wrap kondisi segel aman,5
ismile-indonesia,Apple iPhone 15 Garansi Resmi 128GB 256GB 512GB,"seller mantap, ini yg kedua kali sesuia harapan,, tambahan kak, kasih gratis sofcase kak, smg awet HPnya",5
ismile-indonesia,,manteb ..,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,2 kali beli di toko ini cukup puas sama pelayanannya,5
ismile-indonesia,,"Garansi resmi, tapi ga dapat yg garansi indo, dapatnya region luar, hopefully tidak ada masalah. Terima kasih seller 🙌",5
ismile-indonesia,,pelayanan mantap amanah semoga awet,5
ismile-indonesia,Vention Wall Charger Gan 20W PD USB C Garansi Resmi,"pengiriman cepat , penjual respon nya cepat .",5
ismile-indonesia,,"chargernya bermasalah, tidak bisa ngecharge secara normal, claim barang yang bermasalah ribet",1
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Amanahhh bgt bgt bgt tokonya, pake kurir dari toko langsung karna takut, tp cepet bgt langsung sampe dan aman bgt barangnya pas sampe ada ttd nota nya jg, makasih ya kaka...",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,mendarat dengan cepat dan selamat gacor pokoknya,5
ismile-indonesia,"Logitech Combo Touch Keyboard Case With Trackpad for Apple iPad Pro 11"" 12.9"" Garansi Resmi","Seller responsive, pengiriman cepat, bonus microsfot real ges ga tipu tipu kayak kebanyakan toko lain tanpa embel embel harus bintang 5 juga. Sukses terus",5
ismile-indonesia,,"cas-an nya tidak bisa di pakai. tidak masuk ke hp saya, padahal saya baru pakai, kadang masuk habis tuh putus lagi",1
ismile-indonesia,Apple iPhone 13 128GB Garansi Resmi Indonesia,Mantap,5
ismile-indonesia,Apple Watch Series SE Gen 2 2023 40mm 44mm GPS Alumunium Case,bagus aman tentram,5
